"ID","ccode","redist","finan","incbins","female","age","partyid","educ"
18640,"UA",2,4,5,0,39,2,2
9826,"DE-W",3,1,5,0,33,7,4
15022,"US",4,1,1,0,61,7,3
13033,"UA",2,0,5,0,55,4,4
19126,"AT",4,6,3,0,50,4,3
11746,"NZ",3,8,2,1,63,2,3
18735,"DE-W",4,3,5,1,36,7,4
16635,"RU",4,8,5,0,50,2,4
7062,"NO",2,1,2,1,37,4,1
1465,"PH",4,-1,3,0,53,4,4
6141,"PL",1,1,4,1,31,4,4
4200,"SK",4,2,5,1,53,7,4
15326,"CN",1,10,5,1,63,4,2
4418,"US",5,3,2,1,81,2,1
3950,"TR",5,-1,5,1,19,4,2
19323,"FR",4,7,5,0,63,3,3
14370,"AU",4,1,3,0,29,2,4
1411,"FR",4,1,3,0,47,2,4
7595,"ES",4,3,4,1,51,2,4
4793,"HU",2,7,4,1,37,4,3
1683,"SE",5,0,5,0,25,7,3
12615,"ES",5,1,1,0,66,2,3
6941,"LV",2,9,1,0,73,4,4
10767,"CH",2,2,5,0,65,7,4
7666,"UA",2,4,5,1,47,7,2
7680,"CL",4,0,3,0,43,2,2
13369,"SE",5,1,4,0,60,4,3
17497,"ZA",2,-1,4,0,51,4,3
2145,"CN",3,0,2,0,18,3,2
20240,"TW",4,6,1,1,79,2,3
10050,"ES",2,10,5,0,65,4,1
21193,"IT",4,1,4,1,22,2,2
5815,"PT",3,0,3,0,47,7,3
6207,"KR",5,-1,2,1,43,4,4
18616,"CN",2,1,3,0,45,4,3
5116,"AU",2,2,5,1,32,7,2
14401,"CL",4,1,3,0,60,7,3
134,"HR",2,1,2,0,61,7,1
543,"AU",1,4,5,0,39,2,4
114,"HU",3,0,4,1,55,2,3
6126,"FI",3,-1,5,0,39,4,3
12038,"CL",4,7,1,1,84,4,1
12342,"UA",2,0,2,1,44,5,3
11437,"DE-E",4,6,2,1,79,2,3
7929,"VE",5,0,3,1,87,4,1
11912,"ZA",5,0,1,0,50,2,3
13212,"AU",2,7,2,1,63,4,1
14549,"HR",1,1,5,1,21,4,3
782,"TR",1,1,5,0,58,4,4
15109,"AU",5,0,2,1,23,7,3
14501,"SK",2,0,1,0,71,4,3
12809,"FI",4,2,2,0,70,7,3
7982,"PH",4,8,5,1,60,4,4
4872,"IL",3,-1,2,0,33,3,4
3160,"IT",4,0,1,0,25,2,3
19442,"CN",3,1,1,0,74,4,3
13371,"TR",4,7,1,0,64,4,3
7123,"CN",2,0,2,1,61,2,1
18190,"IT",4,1,3,0,42,7,4
2781,"CN",4,0,3,0,44,2,3
7384,"IS",3,1,4,1,25,2,4
20704,"FI",5,7,1,0,17,7,2
4296,"US",3,1,5,1,50,2,4
2378,"RU",5,1,2,0,34,2,4
6393,"NZ",4,1,4,0,45,2,3
1565,"BG",4,1,2,1,58,4,3
15863,"SE",4,1,1,1,75,4,3
1453,"FI",4,7,4,1,49,4,3
4041,"NO",2,7,4,0,55,4,3
1909,"CY",3,1,3,0,48,7,3
18358,"ES",5,10,2,0,70,4,1
14687,"CZ",4,1,1,1,60,2,1
10260,"UA",4,0,3,0,56,4,3
13080,"CN",5,10,4,0,41,4,3
3667,"AU",2,-1,5,1,27,4,3
1822,"SE",2,3,4,1,20,2,2
1757,"TR",4,4,2,1,62,7,1
13871,"CN",3,1,2,0,84,4,3
13537,"DK",3,1,1,1,80,2,1
4916,"FR",5,0,2,0,52,7,1
17668,"BE-FLA",4,1,1,1,67,7,1
6812,"RU",4,0,2,1,64,4,1
16499,"NZ",3,7,3,0,72,2,4
4823,"AT",4,7,4,1,65,2,3
3420,"IS",4,1,2,1,68,4,1
20900,"KR",4,5,3,0,44,2,3
12172,"FR",2,1,2,1,54,4,1
9318,"PH",1,1,2,1,53,2,1
14190,"AU",2,10,5,0,60,2,4
9392,"ZA",3,6,2,0,62,4,4
20565,"AR",4,7,2,1,65,4,3
1174,"AU",3,2,4,0,39,2,3
17101,"JP",4,1,4,0,59,4,2
20916,"IS",2,1,2,1,42,7,1
3094,"US",5,6,2,1,58,2,2
20242,"CL",5,1,1,1,61,2,3
14124,"US",5,1,3,1,59,2,1
9604,"TR",3,1,1,0,20,7,2
9839,"LV",5,0,1,0,52,7,1
2870,"PH",2,10,5,1,65,4,3
5922,"KR",5,1,2,1,47,7,3
112,"FR",3,3,1,1,65,2,1
669,"GB-GBN",3,7,2,1,77,4,1
18365,"ZA",4,6,5,1,19,4,2
13031,"IS",1,2,3,1,75,4,3
14135,"SK",4,1,1,1,60,4,3
81,"CH",5,6,2,1,83,2,1
11762,"BG",2,1,4,0,24,4,4
10122,"HU",4,0,1,0,28,2,3
19959,"FI",4,1,1,0,64,2,3
9599,"SK",1,3,4,0,37,4,3
7130,"PT",4,1,5,0,32,4,3
9316,"LV",4,10,4,1,69,4,4
6649,"SE",3,8,3,0,62,7,2
19351,"TW",3,1,5,1,29,7,4
4460,"AT",1,1,4,1,39,7,4
8881,"FR",4,3,2,1,65,2,1
13901,"CN",5,1,5,1,26,2,2
4662,"TW",5,0,2,0,26,2,3
13071,"HR",4,0,1,0,54,2,3
2977,"CN",1,1,4,1,37,4,3
19173,"GB-GBN",4,0,3,1,58,4,1
3168,"US",5,1,2,0,69,2,1
1115,"CY",2,7,4,0,49,4,4
20491,"AR",2,10,5,0,71,2,3
15239,"PL",4,8,2,0,49,2,3
14335,"SE",2,-1,5,1,43,2,3
11903,"TR",4,7,2,1,85,2,4
13544,"FI",2,1,4,1,34,4,3
13202,"ZA",4,1,4,0,48,2,3
19396,"IS",4,7,3,0,74,4,1
9462,"LV",2,0,3,0,47,2,4
386,"ZA",4,2,5,1,33,2,4
17115,"FR",4,7,4,1,40,2,4
6847,"PH",4,2,4,1,35,2,3
8908,"PH",3,10,5,1,54,4,3
11740,"GB-GBN",3,1,5,1,37,4,3
19014,"FI",4,1,3,1,40,4,4
17501,"DE-E",1,10,4,1,52,4,4
16505,"US",4,9,5,1,23,4,4
13384,"SI",4,1,2,1,55,2,3
8641,"IT",2,10,2,0,76,2,4
3087,"CL",4,2,5,1,24,4,4
16039,"ZA",1,8,5,1,63,4,4
20026,"KR",2,1,1,0,71,4,1
9917,"ZA",2,7,5,0,57,2,3
2319,"ZA",1,2,3,0,53,2,3
16992,"CN",5,1,4,1,50,4,3
12923,"DK",1,1,4,1,36,2,3
16407,"PH",4,6,4,1,51,2,4
20273,"FR",5,6,3,1,50,7,3
67,"FR",1,7,5,0,62,4,4
16524,"NO",1,7,5,0,55,4,3
2704,"NO",4,1,1,0,68,4,3
5812,"CN",4,2,5,0,65,7,4
4251,"RU",1,7,3,1,32,4,4
17956,"CL",2,9,5,1,54,4,2
4648,"SI",3,2,4,0,43,7,4
3084,"SI",4,-1,2,1,51,7,3
7151,"ZA",5,0,5,1,42,4,3
19325,"HU",4,4,5,1,35,4,4
17178,"ZA",5,7,2,1,47,4,3
3327,"BG",5,1,5,0,28,4,4
18694,"PL",5,6,3,0,62,4,3
14182,"FR",5,9,2,1,77,4,3
1766,"CN",3,6,5,0,34,4,4
567,"CY",4,7,4,0,50,2,4
5280,"VE",2,4,4,0,72,4,1
4409,"SI",5,0,1,1,64,2,3
9978,"US",4,-1,3,0,56,4,3
17207,"HR",2,2,5,0,57,4,3
10331,"FI",2,0,4,0,60,4,4
17296,"JP",4,-1,2,0,73,2,3
12330,"ES",4,1,1,0,56,2,2
6482,"AT",5,-1,3,0,44,3,3
18109,"UA",3,3,5,1,51,2,3
1412,"SK",4,1,2,1,26,7,2
8158,"ZA",4,0,3,1,50,4,3
3606,"HR",4,0,1,1,58,2,3
24,"ZA",4,2,4,0,41,2,3
2195,"CN",5,0,1,1,57,2,1
14714,"ZA",1,0,4,0,52,4,3
10869,"IS",3,7,2,0,60,4,3
402,"AR",2,7,5,0,56,2,3
5260,"CH",2,3,1,1,74,2,3
15476,"BG",3,6,4,0,64,4,3
13435,"DK",1,1,4,1,58,4,1
18272,"US",4,6,2,1,73,5,3
13198,"PT",5,-1,5,1,58,2,3
21200,"UA",2,1,2,0,63,4,1
16572,"IL",5,1,5,1,62,2,3
18728,"TW",4,0,4,0,57,4,1
12726,"DK",4,6,3,0,56,4,2
1103,"US",4,1,5,1,30,2,4
17075,"FR",3,8,4,0,51,2,2
13326,"DK",4,1,1,0,64,4,3
14606,"HR",4,7,1,1,66,2,3
14283,"KR",4,0,4,1,53,7,3
18601,"PL",2,4,5,1,60,4,1
16582,"IL",5,2,4,1,36,2,3
8145,"ZA",5,-1,1,0,44,5,1
3653,"KR",2,7,5,0,44,2,4
10054,"US",2,5,5,0,32,2,4
4812,"RU",2,0,5,1,30,2,4
17802,"DK",5,3,2,1,38,2,3
16772,"CN",2,6,3,1,62,2,3
16529,"EE",1,10,5,0,54,4,4
19942,"US",3,2,4,0,79,4,1
1698,"PT",4,5,5,1,29,2,4
16279,"NO",2,0,5,1,50,7,4
8743,"TR",1,10,5,1,43,2,4
14385,"JP",3,2,4,1,32,2,4
7545,"CH",4,7,4,0,21,2,4
17554,"CH",4,1,5,0,57,2,3
13948,"CY",4,6,5,1,56,2,4
9507,"BG",4,1,5,0,28,2,4
189,"VE",3,5,5,0,70,4,4
14578,"CY",2,0,4,1,36,7,4
1175,"EE",4,1,5,1,48,2,4
19236,"BG",4,8,5,1,52,2,4
6754,"AU",5,9,2,0,62,2,4
6024,"IT",4,7,4,0,59,2,4
4769,"UA",2,7,5,1,59,4,4
19896,"PH",5,1,4,0,68,7,1
1567,"CN",4,3,3,0,63,2,4
11133,"UA",4,1,4,0,34,2,4
2355,"CL",4,1,3,1,30,4,4
9484,"TR",4,7,5,1,57,2,2
13058,"ZA",4,-1,4,0,27,7,4
5205,"CL",4,-1,3,1,50,2,1
13486,"PL",1,7,1,0,74,2,3
7479,"FR",4,0,3,1,51,2,4
1853,"GB-GBN",4,1,4,1,48,2,3
5780,"PT",4,1,4,0,37,2,4
5629,"RU",5,-1,3,1,48,2,3
3480,"IT",4,1,3,0,37,2,4
14887,"TR",4,0,1,0,59,7,3
5519,"CH",3,0,4,0,40,7,4
10819,"BG",3,5,4,1,33,2,4
6922,"IT",4,1,1,0,77,2,1
3347,"NO",2,7,2,1,64,2,4
17572,"KR",2,7,2,0,66,4,4
19321,"FR",2,9,5,0,61,4,3
11236,"NZ",4,7,5,0,53,4,1
15008,"SI",4,3,5,1,58,7,3
20799,"RU",5,-1,3,0,35,7,4
5371,"RU",4,10,1,0,73,2,3
16062,"ES",2,1,1,0,19,2,2
918,"KR",4,1,5,1,34,7,4
8250,"BG",5,-1,4,1,55,4,3
11275,"UA",4,0,2,1,44,7,3
18057,"CN",5,1,5,0,49,2,3
14846,"PL",5,0,4,1,56,2,3
3331,"HU",3,1,2,1,21,2,4
1401,"JP",1,7,1,1,69,2,3
3264,"DE-W",5,-1,2,1,70,2,1
2421,"FR",2,0,1,0,45,2,3
18714,"ES",3,-1,1,0,61,4,1
9513,"TW",4,0,3,0,38,2,4
7220,"NO",1,3,4,0,51,4,3
15639,"UA",4,3,2,1,22,2,4
9146,"FR",3,0,3,1,36,2,4
17315,"IL",3,2,3,1,48,2,3
12425,"CL",2,1,2,1,69,4,3
18143,"AU",3,5,2,0,65,2,1
16657,"LV",3,4,2,1,73,2,3
10994,"AT",4,8,5,0,63,2,1
73,"BE-FLA",5,7,2,0,74,2,3
12823,"IT",3,1,5,1,21,2,4
18518,"ZA",2,6,1,1,60,2,1
12468,"CH",1,6,5,1,34,4,3
2978,"JP",3,7,3,0,78,2,4
12582,"CL",4,1,2,1,50,4,3
12146,"CN",2,7,2,1,74,2,1
6710,"KR",3,0,1,1,63,2,3
4466,"TW",4,3,5,1,51,2,4
3696,"EE",4,3,2,1,40,2,3
2496,"ZA",2,7,2,1,63,2,3
20085,"CN",1,2,4,1,58,7,1
18771,"PH",4,6,5,0,46,2,4
9815,"CN",1,-1,4,0,64,4,3
11564,"LV",5,4,4,0,70,7,4
10878,"CN",3,1,2,0,75,7,3
12967,"IS",3,7,2,0,84,4,1
9725,"PH",4,1,2,0,72,4,3
15950,"ES",4,2,1,0,86,2,1
14225,"SK",3,10,5,1,70,4,4
4533,"FR",3,1,5,1,50,2,4
6829,"US",4,-1,4,0,25,7,4
13800,"ZA",5,0,2,0,74,4,1
9993,"CH",1,10,5,1,67,2,3
13345,"BG",3,1,5,0,51,2,3
11468,"PH",4,2,2,0,55,4,3
11071,"UA",3,2,2,0,26,7,3
12585,"CL",4,10,5,1,65,2,4
15775,"SE",2,0,5,0,56,4,2
2859,"LV",2,10,3,1,49,4,4
17649,"AU",5,7,1,1,63,2,1
19491,"IL",4,1,1,0,60,4,1
2214,"FR",4,-1,4,1,32,2,4
15739,"FR",5,5,1,1,88,4,1
15147,"AU",5,3,3,0,18,7,2
6125,"TW",2,4,3,1,84,2,3
19344,"CN",2,10,4,0,18,4,1
9328,"DK",2,0,1,1,78,7,1
5346,"AR",3,1,3,1,28,7,2
17143,"NO",2,0,4,0,54,4,3
3268,"NZ",3,1,2,1,65,7,3
371,"AR",4,1,5,1,54,2,4
7663,"HR",5,7,1,1,80,2,1
2312,"CN",4,3,2,0,65,4,3
983,"FR",5,6,5,0,60,4,1
570,"ZA",5,0,1,1,31,4,3
16528,"PT",2,1,1,1,21,7,2
17618,"PL",3,1,4,1,36,2,4
8715,"LV",2,1,5,1,46,7,1
14280,"CL",4,0,3,0,61,2,3
5026,"AU",4,1,1,1,61,2,3
21019,"AR",5,7,1,0,76,2,1
17800,"NO",5,-1,2,1,55,7,3
10591,"RU",2,6,4,1,59,2,3
9099,"TR",4,6,5,0,62,2,1
9970,"NZ",3,1,4,0,55,4,3
6579,"RU",2,7,3,1,84,4,4
16316,"JP",2,2,5,0,57,2,4
19795,"SK",4,8,1,0,66,4,3
13758,"HU",2,7,2,0,67,4,3
17986,"IT",1,-1,3,0,19,7,2
8857,"ES",5,0,1,1,31,7,3
16821,"SE",2,0,2,0,53,4,3
15055,"FR",4,5,5,0,28,2,3
16178,"ZA",5,7,3,0,78,2,4
20282,"DK",5,1,5,1,59,4,4
2323,"AT",4,1,2,1,64,4,3
11792,"KR",2,7,5,0,59,4,4
19399,"CL",4,1,2,0,74,4,2
17068,"CZ",1,7,4,1,22,4,4
19392,"IS",4,0,4,0,57,2,3
14957,"JP",1,3,5,1,59,7,3
14534,"BE-FLA",4,1,3,0,73,2,4
7275,"KR",5,6,1,1,52,2,3
911,"IT",2,1,3,0,19,4,2
18894,"TW",4,1,5,1,26,4,4
19864,"JP",5,2,4,1,65,7,4
6622,"FR",4,10,4,0,42,2,2
8315,"TW",3,5,5,1,68,7,3
19150,"AR",4,0,5,1,56,2,3
16119,"PT",2,0,4,1,41,4,3
3361,"IT",4,1,3,0,35,7,4
9587,"ZA",2,1,5,0,24,7,4
9778,"TW",2,1,5,1,24,7,4
10696,"PL",2,1,2,0,79,2,3
5523,"CN",3,0,2,0,47,7,1
20573,"SE",2,2,2,0,73,4,1
10326,"DK",2,3,2,1,74,4,3
11364,"TW",5,1,3,1,54,7,4
2469,"CN",3,1,3,1,46,7,4
5365,"SI",2,3,2,1,63,2,1
15594,"ES",3,1,3,0,59,4,1
12850,"CN",2,7,2,1,76,4,1
9854,"AU",3,1,3,1,33,4,3
17590,"FR",5,1,3,0,52,7,3
1537,"HU",2,2,4,1,40,7,3
18720,"CN",5,0,2,0,53,2,3
498,"AT",3,7,2,1,77,2,3
11738,"UA",2,4,5,0,34,2,4
7241,"IL",2,7,4,0,52,4,3
2805,"SI",4,8,1,1,69,4,1
12290,"SI",5,0,1,1,45,4,1
8175,"US",1,-1,4,0,44,2,4
8267,"RU",4,8,4,0,58,2,4
660,"AR",4,8,5,0,84,2,4
6395,"PH",2,7,3,1,57,4,3
13985,"NZ",3,0,3,1,30,2,4
7031,"KR",4,0,4,1,59,2,4
19925,"ZA",3,0,5,0,33,7,4
6470,"PT",3,2,4,1,46,2,4
13695,"GB-GBN",3,7,3,0,62,7,3
618,"BE-FLA",4,7,2,1,70,2,3
7482,"IT",5,2,4,1,38,2,4
6723,"FR",2,1,3,0,41,4,4
14695,"CL",4,3,4,0,60,2,3
12241,"SI",4,7,3,1,69,2,3
12019,"PT",4,8,5,1,73,2,1
4098,"US",4,1,5,0,46,2,2
7997,"HU",3,1,1,0,69,4,3
292,"DK",3,7,5,1,74,7,4
5823,"AU",3,1,5,1,51,2,4
7001,"KR",1,7,5,0,51,4,3
16395,"PL",4,8,2,1,44,2,4
16974,"RU",3,7,5,1,59,2,4
12140,"CN",3,5,2,1,62,2,3
11954,"SK",4,-1,4,1,30,7,3
13352,"BG",3,2,4,0,64,4,3
1834,"HU",2,8,4,1,55,2,1
15428,"FR",4,4,2,1,84,4,1
4999,"KR",3,0,1,1,77,4,1
19225,"HR",2,7,3,1,55,2,1
14824,"IT",4,0,2,1,63,2,2
166,"HU",4,2,1,1,55,4,1
19741,"ES",5,-1,4,1,27,7,4
8287,"CN",3,1,4,0,22,4,4
17652,"CN",2,0,4,1,61,7,1
16326,"CY",2,1,5,1,31,2,3
8740,"ZA",2,1,4,1,44,4,4
8789,"SE",2,1,3,0,20,2,2
19542,"TR",2,5,1,1,55,2,4
13873,"JP",4,6,5,0,61,7,3
3412,"CN",5,1,1,1,18,2,1
1456,"HU",4,3,1,1,20,2,2
3586,"HU",5,1,3,1,54,2,1
20700,"TW",4,5,3,0,21,3,2
2042,"ES",3,1,4,1,59,4,3
15946,"AU",5,7,3,0,65,2,4
7303,"ZA",2,10,5,1,55,4,4
17085,"NZ",4,3,4,1,61,2,4
9073,"IT",4,7,1,1,71,4,1
8731,"DE-W",2,1,2,0,47,2,1
8360,"RU",5,3,5,1,30,4,4
417,"DK",2,7,1,0,81,2,3
6408,"SK",3,1,5,1,39,2,4
13310,"RU",4,8,2,0,74,2,1
2050,"US",5,1,4,0,36,4,3
10817,"UA",2,2,4,0,37,2,4
12374,"PL",2,3,5,1,32,2,4
18702,"UA",3,7,1,1,73,4,1
9781,"IS",5,7,4,1,43,2,4
12714,"FR",5,1,3,1,27,2,4
20889,"CL",4,7,4,0,24,2,4
15688,"BG",3,1,5,1,37,2,4
9690,"AR",3,0,5,1,48,2,4
1102,"DE-W",4,8,4,0,46,2,3
11861,"HR",1,1,2,0,78,4,3
8935,"TW",2,10,5,1,62,4,3
11195,"ES",3,1,2,1,84,7,2
13788,"BE-FLA",4,10,2,0,45,7,4
17680,"CL",4,9,4,1,20,2,4
4168,"DE-W",4,10,5,0,61,2,3
10052,"DK",5,10,5,1,61,7,4
19044,"CN",1,7,5,0,71,4,4
4515,"FI",4,7,3,1,59,7,3
13034,"TR",3,-1,5,0,53,2,4
6869,"PT",4,1,2,1,33,4,3
7225,"VE",4,7,4,1,67,2,4
2345,"BE-FLA",2,7,4,1,52,4,3
5902,"SE",2,0,3,0,57,2,4
12752,"AU",5,8,5,0,54,2,2
11155,"CL",2,7,4,1,47,4,3
3426,"AT",5,7,3,0,78,4,3
12279,"PH",2,2,4,1,46,7,4
9378,"CY",4,1,3,1,80,4,1
2809,"SE",2,1,5,0,23,7,3
15783,"TW",4,0,4,1,51,7,3
1861,"FR",3,3,4,0,43,2,4
8775,"SE",5,4,4,0,64,4,4
5673,"HR",4,1,2,0,74,2,1
11724,"FR",1,0,5,0,47,4,4
17149,"NZ",2,7,3,1,67,4,4
17199,"RU",2,-1,4,0,30,4,4
14449,"ZA",4,0,2,1,47,2,3
11526,"UA",5,-1,5,0,55,2,4
20825,"SE",1,2,5,0,41,7,4
2823,"FR",3,1,4,0,19,7,1
5349,"ES",5,6,2,0,69,2,1
12658,"BG",2,9,2,1,77,4,1
5512,"NO",3,1,3,1,50,2,3
2920,"SK",3,1,5,1,53,2,3
16660,"SI",2,1,1,1,66,4,4
19206,"FR",4,7,3,1,65,2,3
3485,"ZA",5,-1,2,0,51,2,1
6246,"IT",5,7,2,0,80,2,4
6486,"RU",2,1,2,1,50,2,4
2651,"KR",5,-1,1,0,51,2,3
11358,"RU",2,7,3,0,21,2,2
19830,"SI",2,1,4,1,24,4,4
5339,"BE-FLA",5,6,4,1,52,2,3
19086,"CH",1,9,5,0,77,4,3
7,"AT",5,7,4,0,63,2,3
21158,"FR",2,1,4,1,29,2,3
4175,"NO",4,1,4,1,49,7,1
11368,"VE",4,8,4,1,53,2,4
1697,"ZA",5,2,3,0,23,2,3
10316,"IL",2,1,3,0,75,4,2
6391,"CZ",2,2,4,0,57,4,4
13050,"ZA",4,8,2,1,68,7,1
11571,"FR",2,10,4,1,65,2,4
10697,"PL",2,-1,5,0,45,4,4
827,"UA",3,1,1,1,86,2,3
4628,"AR",4,6,2,0,69,4,1
18363,"TR",3,3,2,0,76,4,3
380,"BE-FLA",3,7,3,0,62,4,1
16292,"AR",4,1,1,0,65,4,3
5553,"CN",5,0,1,1,48,2,3
9315,"PL",2,7,4,1,57,4,3
9228,"GB-GBN",5,0,2,1,36,2,3
14108,"TR",3,1,2,1,62,4,1
19501,"KR",3,0,2,1,52,2,3
15110,"KR",3,2,3,0,42,4,4
3885,"PH",4,0,2,0,67,2,1
18796,"ZA",4,7,3,1,20,2,2
12948,"TR",5,-1,5,1,57,4,1
14922,"TR",3,6,2,1,69,2,1
18881,"FR",2,1,2,1,57,2,2
15559,"LV",4,7,2,1,59,4,4
3647,"TW",4,1,2,0,45,4,3
4741,"ZA",2,2,4,0,46,4,3
3255,"HU",5,1,3,1,46,7,3
1471,"HU",5,1,2,1,38,2,3
9891,"IL",3,5,2,1,64,2,1
2478,"DE-E",2,7,3,0,70,4,4
13304,"PL",2,1,2,1,67,2,3
6317,"ZA",5,1,1,1,74,2,1
18058,"NO",5,0,1,1,73,2,3
20363,"FR",5,0,4,0,51,2,1
13858,"DE-E",5,4,5,0,56,2,3
4645,"ZA",2,7,2,0,81,4,3
5659,"AU",4,4,1,0,78,2,1
17639,"US",3,1,2,1,74,2,2
2773,"PT",5,7,3,1,72,7,4
18135,"CH",3,3,5,1,21,4,3
11703,"FR",1,10,5,1,54,4,3
3098,"EE",2,1,2,0,56,4,1
10989,"CH",3,3,4,0,66,4,3
7323,"EE",5,7,2,1,51,2,3
14716,"DE-W",5,1,1,1,43,7,3
7923,"TR",4,1,3,0,77,4,3
20488,"ZA",4,6,1,0,65,2,3
16236,"DE-E",2,1,3,0,40,4,4
14045,"ZA",5,1,4,1,54,4,1
14105,"GB-GBN",3,1,5,1,28,4,3
6953,"FR",4,1,2,0,54,2,3
12870,"AU",4,1,1,1,73,4,3
10217,"AT",1,7,4,0,44,4,2
21140,"EE",4,6,4,0,77,2,3
12005,"UA",2,7,3,0,86,4,3
20355,"FR",4,0,4,0,46,2,4
5572,"IL",4,6,1,1,45,4,3
5806,"US",2,1,3,1,46,4,3
788,"DK",5,0,4,1,30,2,3
7370,"US",3,1,5,1,44,2,1
8168,"DE-E",3,2,3,1,46,7,4
8588,"SI",2,7,3,1,58,2,1
12424,"US",2,1,4,0,40,7,3
7983,"GB-GBN",4,7,2,1,63,2,3
14027,"BG",5,0,1,1,53,2,3
4322,"IS",4,6,2,1,48,2,1
16561,"AR",4,0,2,1,44,7,1
2370,"UA",4,6,2,0,66,4,3
6382,"SE",4,1,1,0,82,2,1
274,"DK",2,0,2,1,30,4,3
435,"AU",2,0,2,1,74,4,4
17761,"CN",2,1,4,1,57,2,4
16124,"NO",3,7,1,1,67,4,1
14642,"CL",4,7,2,1,58,4,2
1382,"IT",4,1,3,0,43,7,3
12437,"CN",2,1,5,1,35,2,4
409,"TR",5,1,2,1,64,7,4
10559,"US",4,1,4,1,41,4,3
6783,"NO",4,7,2,1,70,2,3
11467,"CY",5,0,2,0,58,2,1
9035,"PL",3,1,2,1,49,4,1
7317,"TW",4,1,4,1,32,4,4
6430,"NO",3,7,2,1,72,4,1
7654,"LV",1,3,5,0,59,4,2
4761,"BG",4,1,3,0,59,4,1
19264,"CN",4,7,5,1,53,7,4
6863,"NO",2,2,2,1,60,4,2
17042,"BE-FLA",5,0,2,1,59,2,1
8000,"DK",4,1,2,0,78,4,3
3131,"EE",2,8,2,0,78,4,2
14308,"SE",5,0,1,1,57,2,3
6583,"ZA",3,1,1,0,80,4,1
14219,"US",4,0,2,1,48,7,3
14320,"PL",4,7,2,1,58,2,3
10220,"AU",2,7,5,1,54,4,3
7618,"TR",5,0,1,1,50,4,1
11606,"FI",4,1,1,1,58,7,1
17722,"BE-FLA",4,8,3,1,40,7,3
21027,"BE-FLA",4,0,5,1,32,7,4
3136,"SK",3,1,4,1,54,4,3
11017,"ZA",4,2,3,1,43,2,3
4742,"VE",5,3,5,0,63,2,3
20119,"ES",5,1,5,0,43,2,3
17374,"ES",5,5,3,0,64,2,4
1728,"CH",3,6,2,0,23,4,4
7730,"CN",5,2,5,0,35,7,4
19517,"ES",4,3,3,1,52,4,4
15388,"RU",2,8,2,1,57,4,1
7459,"PL",4,0,5,1,53,7,4
1927,"IT",3,1,3,0,43,7,3
5399,"UA",5,7,5,0,41,7,3
18265,"CH",4,4,2,1,78,4,1
17799,"CH",3,9,5,0,61,4,4
19663,"ZA",4,6,5,0,57,2,3
18071,"PH",3,1,1,1,28,2,4
11524,"US",2,7,2,1,63,2,1
